Id,CourseName,CourseNumber,DepartmentCode,CourseDescription,Credits
15, Cinema History I (Pre-War),2400,CMAF,"The course charts the early history of the cinema from its inception to World War II: film shorts at the turn of the century, the silent film era, the introduction of sound, and the decline of the studio system. Films are examined as technical, industrial, commercial, artistic, and, most importantly, as historical artifacts. Industry, audience, and the development of cinematic language are viewed within an international framework and their local cultural context. (Prerequisite: CMAF-1010).",3
16, Cinema History II (Post-War),2410,CMAF,"The course examines films from the post-War period to the present: the heyday of the classical Hollywood narrative and challenges to its dominance from European neo-realism and the avant-garde film movement are considered. Films are viewed as influenced by and reflective of social upheaval of the sixties, as well as their consolidation within distinct but mutually influencing categories of mainstream and alternative cinema. An important consideration is how films can either paper over or expose social fractures along the lines of gender, race, sexuality, and nationalism.(Prerequisite: CMAF-1010)",3
17, Media Aesthetics,2430,CMAF,"The course provides a basic set of principles and tools to understand the formal qualities of visual signification and the broader contours of visual culture. Students learn aesthetic and technical terms, rules, conventions, and social assumptions used to construct meaning through sound, images, or graphics in stills, film, television and the web. The course offers a grounding useful for both producers and consumers of visual images.(Prerequisite: CMAF-1010).",3
18, Introductory Photography,2530,CMAF,"This introductory course in film and chemical photographic processes provides an opportunity for students to explore techniques and concepts within the medium of photography. Students will learn the basic technical skills of operating cameras, processing film, and making black and white prints, through a series of concerns specific to photography. (Prerequisite: CMAF-1010 and Communication, Media and Film Major; students must have a 35mm adjustable film camera to complete this course.) (Also offered as Visual Arts VSAR-2530.) (Lab fees may apply.)",3
19, Communication and Cultural Policy in Canada,2450,CMAF,"This course surveys the historical development of communication and cultural policy in the Canadian context. Students will investigate particular culture industries (e.g. music, film, television) and key themes (nation-state, public sphere, globalization, media convergence) that have informed policy debates as well as the structure, performance and regulation of culture/media industries. Topics may include: the role of the State in cultural production, national culture, citizenship, identity and multiculturalism, representations of ‘Canada’ in the popular imagination. (Prerequisite: CMAF-1010.)",3
20," Public Relations, Media and Society",2610,CMAF,"This course examines the historical and contemporary role and influence of the public relations industry on media discourses and the shaping of public opinion. Students will critically explore the emergence of the PR industry; the art of ""spin"" and the engineering of consent; corporate and government PR; and the symbiotic relationship between PR and informational media. (Prerequisites: CMAF-1010)",3
21, Speaking Truth to Power: Voice and Activism,2700,CMAF,"An examination of contemporary struggles for social change with a particular focus on anti-consumerist and environmental justice campaigns. Students learn to create persuasive social justice messages. (Prerequisite: Semester 3 or above standing.) (Also offered as DRAM-2700, SJST-2700, and WORK-2700)",3
22, Theories of Communication and Media,2750,CMAF,"This course introduces students to various theorists and schools of thought that have shaped the discipline of communication/media studies within the Canadian context, traces the development of theoretical approaches to communication forms and processes and explores a variety of underlying philosophical perspectives and assumptions in communication and media theory. (Prerequisite: CMAF-1010.) (2 lecture hours and 1 tutorial hour per week.)",3
23, Advertising in Historical and Cultural Context,2820,CMAF,"This course contextualizes advertising and branding within the history of capitalism and contemporary consumer culture. The course draws upon approaches from Marxism, sociology, feminism, and other critical perspectives. Topics may include: the historical rise of consumer culture, advertising’s reciprocal and structural relationship with media, controversial advertising categories, issues of representation and meaning and the ideological dimensions of advertising and branding. (Prerequisites: CMAF-1010).",3
24, Digital Technologies and Everyday Life,3010,CMAF,"This course surveys critical theories of technology with a focus on how evolving and emerging communication/digital technologies are received and adapted and how they shape practices in various institutional contexts and in everyday life. Topics may include: representations of technology, technologies and the organization/perception of space and time, privacy/surveillance, gender, labour, the environment and technology. (Prerequisite: CMAF-2750.)",3
25, Popular Culture,3020,CMAF,"Examines the relationship between popular culture and questions of economics and social and cultural politics, through an exploration of struggles over knowledge, power and authority manifest in popular cultural artifacts and processes. Intended to provide students with tools for critical evaluation of contemporary popular culture, including the constitution of social ideologies, values and representations through cultural artifacts. (Prerequisite: CMAF-2750.)",3
26," Privacy, Surveillance and Security in the Digital Age",3040,CMAF,"This course provides an historical examination of the conceptual apparatuses that have traditionally framed understandings of the right to privacy, critically assesses the capacities of the State and corporate entities to monitor digital activities and explores the social, political and economic implications of surveillance practices. Topics may include: user-generated surveillance, mobile technologies, cloud computing, geo-locating technologies, tracking software, and data mining in social media contexts. (Prerequisite: CMAF-2010)",3
27, Field and Studio Sound Recording,3090,CMAF,"An overview of the theoretical and practical aspects of audio including frequency range, khz, bits and file formats in accordance with industry standards. Students will learn advanced techniques and principles of sound mixing for various production contexts. (Prerequisite: CNMA-2090/CMAF-2090 and CNMA/CMAF-2320) (Also offered as CNMA-3090) (2 lecture hours and 1 laboratory hour per week) (Credit may not be obtained for both CNMA-3090/CMAF-3090 and CMAF-3180)",3
28, Cinematography,3100,CMAF,"This course focuses on cinematic visuals using various cameras as tools. Students will explore the theory and craft of motion picture cinematography. This course will provide students with the opportunity to shoot several film assignments, engage in critical discussion, conduct peer reviews of each other’s work, and screen their productions. (Prerequisites: CNMA-1010 and CNMA-2320/CMAF-2320) (Also offered as CNMA-3100).",3
29, Studio and Location Lighting for Film and Video,3140,CMAF,"This course examines the aesthetics, techniques and technology of lighting and its role in storytelling and meaning-making processes. Through hands-on exercises with lighting instruments and systems, students will develop skills in professional and creative applications of lighting in both location and studio environments. (Prerequisites: CNMA-2320/CMAF-2320, CNMA-2320/CMAF-2320) (Also offered as CNMA-3140) (2 lecture hours and 1 laboratory hour per week)",3
30, Intermediate Screenwriting,3200,CMAF,"This course builds on skills acquired in CNMA-2200. Students will write scripts that will be work shopped throughout the semester in order to develop and refine writing and storytelling skills. Writing assignments, discussion, peer review, pitch presentations and analysis of texts via screenings and readings will inform the students’ work and understanding of the form. (Prerequisite: CNMA/CMAF-2320 and CNMA-2200/CMAF-2200) (Also offered as CNMA-3200).",3
31, Production Planning and Development,3230,CMAF,"This course provides a foundation in pre-production and planning processes including the development of location agreements, production schedules and budgets. Students will also learn how to assemble representative portfolios of their creative work, advance their pitching skills, write effective grant proposals and identify funding sources for independent film/video projects in the Canadian context. (Prerequisite: CNMA-2320/CMAF-2320) (Also offered as CNMA-3230).",3
32, Digital Video Editing and Post-Production,3270,CMAF,"This course provides an examination of the historical, aesthetic and theoretical aspects of editing and post-production. Through screenings, workshops, praxis-based pedagogical approaches and group assignments, students will explore various editing styles and acquire advanced editing skills in accordance with industry standard software. (Prerequisite: CNMA/CMAF-2320) (2 lecture hours and 1 laboratory hour per week) (Also offered as CNMA-3270)",3
33, Motion Picture Technologies,3300,CMAF,"An in-depth study of techniques for creating 3D film production, special effects, aerial cinematography and robotic cinema imagery. Students will expand their creative visual approach and technical practice in field and film studios. (Prerequisite: CNMA/CMAF-2320) (2 lecture hours and 1 laboratory hour pera week). (Also offered as CNMA-3300).",3
34, Intermediate Film Production,3310,CMAF,This course continues the creative approach to and technical practice of independent film production initiated in CNMA-2310/CMAF-2310. Students will expand their experience and knowledge of theoretical and practical filmmaking in both field and studio settings. (Prerequisite: CNMA/CMAF-23200 (Also offered as CNMA-3310) (2 lecture hours and 1 laboratory hour per week),3
35, Intermediate Documentary,3320,CMAF,"This course examines theories, techniques and styles of modern documentary as well as other non-fiction forms such as the photo-essay. Students may investigate different sub-genres of the documentary approach and create projects that explore specific personal, social and/or community/campus related issues. Readings and in-class screenings will focus on the theory and practice of documentary for social change. (Also offered as CNMA-3320) (1.5 lecture hours and 1.5 laboratory hours per week) (Credit may not be obtained for both CMAF-3320 and 40-319).",3
36, Methods of Mass Media Criticism,3340,CMAF,"In this course, students examine mass/popular cultural texts (e.g. news, TV shows, films, music videos, advertisements, social media, etc.,) and explore representational politics using a variety of contemporary methodological approaches. These may include: content analysis, cultural studies, discourse/textual analysis, semiotics, genre study, feminist criticism, audience research, on-line ethnography, web-based inquiry. (Prerequisites: CMAF-2340 or CMAF-2750)",3
37, Cinema and/in Culture,3430,CMAF,"This intermediate course on cinema focuses on shifting topics that underscore contemporary approaches to studying the culture and politics of cinema as a medium. Topics may include: film auteurs, film practice modes, genres, movements, national cinemas, representational politics of race, gender and sexuality; spectatorship/reception, star system, transnational productions/flows. (Prerequisites: CMAF-2400 or CMAF-2410)",3
38, Public Relations Today: Issues and Practices,3610,CMAF,"This course explores the contemporary world of public relations. Through case studies and in-class exercises, students will assess a variety of strategies and techniques and apply them in the planning and execution of public relations campaigns deliverable across a variety of platforms. Topics may include: PR in the social media age; media relations, journalism and PR; PR and ethical considerations. (Prerequisite: CMAF-2610)",3
39," Media, Technology and the Environment",3640,CMAF,"This course explores the relationship between media practices, representations, communication technologies and the environment. Topics may include: media constructions of the environment; mainstream and alternative media coverage of environmental movements and issues; environmental impact of communication practices, technological advancements and consumer culture; environmental themes in advertisements, corporate greenwashing. (Prerequisite: CMAF-1010 and CMAF-2750)",3
40, Alternative Media and Digital Activism,3700,CMAF,"This course examines existing theory and scholMACSip on alternative media and media activism and explores the ways in which activists and citizen groups use/have used “old” as well as new media and emerging technologies to challenge mainstream media narratives and express alternative views on a range of social and political issues. Special emphasis will be placed on the Canadian context. Topics may include: mainstream versus alternative media framing; historical roots of Canadian alternative media; media reform movements; participatory journalism; culture jamming; the tactics, strategies, aesthetics and goals of alternative/activist media. (Prerequisite: One of CMAF-2010, CMAF-2250, CMAF-2700, DRAM-2700 (Dramatic Art) or WORK-2700 (Labour Studies).)",3
41, Critical Approaches to Media and Culture,3750,CMAF,"This course explores contemporary theories and methods related to the critical study of media and culture including Marxian and neo-Marxian political economy, the Frankfurt School, Gramscian hegemony theory, structuralism, semiotics, cultural studies, social constructionism, postmodernism, poststructuralism, and feminism. Topics may include: political economy of media and the culture industries; the production, consumption, and circulation of cultural texts and artefacts; the materialities of communication and the politics and practices of representation. (Prerequisite: One of CMAF-2000, CMAF-2010 or CMAF-2750.)",3
42, Advertising in the New Media Era: Contemporary Issues and Practices,3820,CMAF,"This course considers how “new media” formations including Internet, streaming, mobile, social, and user-generated media have altered the advertising industry and advertising practices. Topics may include: advertising’s structural influence over new media technologies and platforms, new media audiences/users/influencers, guerrilla marketing, advertising strategy, regulation and policy. Students will learn advertising skills and techniques required to propose, plan, and execute campaigns in the new/social media environment. (Pre-requisite: CMAF-2820).",3
43,CMAF-3830 Children and the Mediated Marketplace,3830,CMAF,"This course offers a critical approach to the study of children’s media, advertising, and consumer culture. Topics may include: issues of ideology and representation in children’s media and consumer culture, the social construction of childhood by market forces, and the impact of internet and mobile technology on the evolving nature of childhood. (Prerequisite: CMAF-1010 and CMAF-2250)",3
44,CMAF-3900 Special Topics in Media and Society,3900,CMAF,"This Special Topics course will explore contemporary issues relevant to understanding the links between media institutions, cultural texts/forms and social practices. The specific focus will vary based on faculty expertise (Prerequisite: CMAF-2750 and at least semester 4 standing). (May be repeated for credit if the topics differ.) (Prerequisites: CMAF-2750 and at least Semester 4 standing.)(May be repeated for credit if the topics differ.)",3
45, Advanced Topics in New Media and Digital Culture,4010,CMAF,"This seminar provides an in-depth exploration of the diverse social, economic, political, cultural and artistic practices that constitute the contemporary new media landscape. Through an examination of web 2.0 technologies/digital platforms and their formations, structures, limits and possibilities, students will be engaged as both content consumers and producers. Topics may include: social networking as immaterial labour, art in the age of digital reproduction, cyber-identity/community, new media and public policy, digitally-mediated activism/social movements. (Prerequisite: CMAF-3010 or CMAF-3040)",3
46,CMAF-4150 Advanced Studio and Location Lighting for Film and Video,4150,CMAF,"This course builds on skills acquired in CMAF-3140 and will deepen student's technical, conceptual and aesthetic knowledge while working with light in creative projects. Students will explore a variety of strategies to evoke specific moods/themes and plan and execute aesthetically strong and technically advanced lighting schemes for controlled studio environments and diverse interior and exterior location sites. (Prerequisite: CNMA-3140/CMAF-3140 or permission of instructor) (Also offered as CNMA-4150) (2 lecture hours and 1 laboratory hour per week)",3
47, Advanced Television Production,4210,CMAF,"This course integrates advanced principles and practices of television studio production. Students will research, plan, write scripts, shoot and edit segments about the campus community and the region for broadcast on local cable television. This course may be repeated once for credit with permission of the instructor and the Undergraduate Advisor/Department Head. (2 lecture and 1 laboratory hour per week) (Prerequisite as of Fall 2020: One of CNMA-2320/CMAF-2320, CNMA-3320/CMAF-3320, or CNMA-3270/CMAF-3270, or permission of instructor) (2 lecture and 1 laboratory hour per week)",3
48, Advertising/Marketing Campaign Production,4230,CMAF,"This advanced course integrates knowledge and skills acquired in previous theory and production courses. Working in groups, students will obtain hands-on experience in the production of advertising/marketing campaigns for various delivery formats, including social media. The class will focus on graphic design programs, script writing, the digital editing of video, stills and audio, audience research and ethical standards in advertising. (Prerequisites: CMAF-3310 and one of: CMAF-3230 or CMAF-3320 or CMAF-3820) (2 lecture hours and 1 laboratory hours per week.)",3
49, Advanced Non-Fiction Media Production,4240,CMAF,"This course integrates theories and practices of digital media with an emphasis on professional standards and skills. Students will plan, write, shoot, edit and compress news, documentary, and other short form non-fiction projects. This course may be repeated once for credit with permission of the instructor. (Prerequisite: One of 40-219, CNMA-2310/CMAF-2310, CNMA-3270/CMAF-3270, CNMA-3310/CMAF-3310 or CNMA-3310/CMAF-3320 or permission of instructor; (2 lecture hours and 1 laboratory hour per week.)",3
50, Advanced Studies in the Sociology of News Media,4250,CMAF,"This seminar course explores and investigates the role played by mass media in power relations and the social construction of reality from a critical political economy perspective. Topics may include: the political economy of mainstream media, including issues of media ownership and control; the intersections of media, corporate and governmental power; mainstream media coverage/representation of domestic and foreign affairs. (Prerequisite: CMAF-2250 or permission of the instructor)",3
51, Advanced Editing and Post-Production,4270,CMAF,"This course explores various technical, aesthetic and ethical issues involved in editing, color grading, 16mm and 35mm HD Telecine, special effects and post production workflow. Through readings, screenings, hands-on exercises and projects, students will gain in-depth knowledge about the impact of post-production aural/visual effects and manipulation in editing processes. (Prerequisites: CMAF-3270 or CNMA-3310/CMAF-3310.) (2 lecture hours and 1 laboratory hour per week) (Also offered as CNMA-4270)",3
52, Senior Project,4280,CMAF,"In this course, students may produce content across a range of new media platforms. Emphasis will be on demonstrating professional capabilities in the areas of critical thinking, proposal writing, project development, creation and distribution. The course synthesizes both theoretical and practical learning acquired throughout the program and offers students the opportunity to further advance their production portfolio. This course may be repeated once for credit with permission of the instructor. (Prerequisites: CNMA-3100/CMAF-3100, CNMA-3270/CMAF-3270, CNMA-3310/CMAF-3310 or CNMA-3320/CMAF-3320 or permission of instructor).",3
53, Advanced Documentary,4320,CMAF,"A continuation of CNMA-3320/CMAF-3320, this course will further explore issues and concepts that apply to documentary film. Students will analyze the form and create work within a context of artistic experimentation and theoretical consideration. Students will further develop their abilities to reflect upon, critique, discuss and express the creative strategies and theoretical meanings that motivate their own work on topics of local interest that engage and impact local communities, particularly on campus. (Prerequisite: CNMA-3320/CMAF-3320). (Also offered as CNMA-4320).",3
54, Film Theory and Criticism,4430,CMAF,"This seminar course examines the changing theoretical and critical approaches to film, including issues in the production and reception of film, such as realism, adaptation, convention, signification, and culture. (Prerequisites: CMAF-2400 and CMAF-2410)",3
55, Border Culture,4500,CMAF,"This course addresses the role of borders in contemporary global culture as both physical boundaries and affective conditions. In the context of the Windsor-Detroit border, students from the University of Windsor will exchange viewpoints based upon the experience of living in a border culture. Seminars and field trips will take up the topic of borders from a number of perspectives and contexts. Students will look at historical and contemporary ideas about borders that have been articulated in various disciplines: from political theory and cultural geography, to urban planning, art, literature, architectural and spatial theory. (Open to majors and non-majors.) (Prerequisites: CMAF-1010 or MACS-1500 and semester 4 standing.) (Also offered as MACS-4500)",3
56," Communication Perspectives and Aboriginal People, Race and Ethnicity",4620,CMAF,"Explores theoretical and practical communication issues of race and ethnicity and links these issues to the practice of social justice. Topics include: historical and critical implications of identity politics, media (mis-) representation, cultural policy, First Nations, multicultural and multiracial media production. (Prerequisites: CMAF-2250 or CMAF-2450, and Semester 5 standing.) (Sociology majors: SACR-3330 and two courses in Communication, Media, and Film.)",3
57, Gender and Technology,4630,CMAF,"This advanced seminar addresses issues related to gendered experiences with technology in the digital age through an examination of various theoretical debates and case studies. Topics may include: the historical gendering of technological skills; the social construction of technology and masculinity; impact of technology on the environment; critiques of techno-science; gendered representation of, and participation in, video games; gendered experiences of mobile phone and social media use. (Prerequisite CMAF-3010 or CMAF-3640)",3
58, Canadian Communication Thought,4760,CMAF,"The course examines a range of thinkers and artists who have contributed to the various branches of communication and media studies in Canada, including media history and criticism, political economy, cultural studies, philosophies of technology, and media and digital arts. Commonalities and differences between first and second-generation Canadian theorists and artists will be discussed in relationship to theories and practices emanating from the United States and overseas. (Prerequisite: at least Semester 6 standing.)",3
59, Selected Topics in Media Production,4890,CMAF,"An advanced exploration of selected topics related to production processes across a variety of media platforms. For individual projects (available only to four-year Honours students in Communication, Media and Film or four-year Honours students in Combined Programs with Communication, Media and Film), proposals must be submitted on appropriate forms and approved, prior to registration, by the Undergraduate Advisor and Head in Communication, Media and Film. (Prerequisites: CMAF-2310 and CMAF-2320 and Semester 5 standing ) (Normally, CMAF-4890 or CMAF-4950 may be taken no more than a total of two times combined.)",3
60, Selected Topics in Communication/Media Studies,4900,CMAF,"An advanced seminar that explores selected topics in the field of Communication/Media Studies. Topics and prerequisites may vary depending on the focus of the course. (Prerequisites: One of CMAF-2750, CMAF-3020, CMAF-3340, CMAF-3750 or permission of instructor.) (May be repeated for credit if the topics are different). (May be repeated for credit if the topics are different).",3
61, Directed Reading,4950,CMAF,"Intended for students with special interest in areas not covered in sufficient depth by other courses. (To be taken only with permission of instructor and Department Head or delegate in Communication, Media and Film) (Normally, CMAF-4890 or CMAF-4950 may be taken no more than a total of two times combined.)",3
62, The Nature of Theatre I,1000,DRAM,"Introduction to the Process of Theatre. Two of the following topics will be covered: the analysis of the play script; the mechanics of performance; the principles of direction; and the theories of design/technical theatre. Nature of Theatre is a two-part sequence, required for majors in all School of Dramatic Art programs. A laboratory assignment supporting the production schedule of University Players is required for either DRAM-1000 or DRAM-2000. Three critical writing assignments are required for the term in which a laboratory is not taken. This course must be successfully completed in the first year of the program. (Laboratory hours by arrangement).",3
63, Theatre in Contemporary Culture,1110,DRAM,An examination of factors and principles involved in an audience's appreciation of theatre. (No prerequisite.) (Open to non-Dramatic Art majors.),3
64, Drawing for the Theatre,1170,DRAM,"Introductory course confronting challenges in drawing for the theatre. Areas covered will include common and innovative materials, elementary drafting, perspective, contour drawing and shading, and their computer enhancement. (Restricted to Dramatic Art majors.)",3
65, Rendering for the Theatre,1180,DRAM,"Introductory course confronting challenges in creating colourized renderings for the theatre. Areas covered will include common and innovative materials, colour theory and psychology, script and character analysis, textural creation, sheen, reflections, and their computer enhancement. (Pre-requisite: DRAM-1170) (Restricted to Dramatic Art majors.)",3
66, Voice for the Actor I,1200,DRAM,"An introduction to the study and practice of voice and speech for the theatre. .(co-requisites: DRAM-1260, DRAM-1280.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
67, Voice for the Actor II,1210,DRAM,"Continuation of DRAM-1200. The study and practice of voice and speech for the theatre (Restricted to BFA Acting students only.) (Prerequisite: DRAM-1200.).(co-requisites: DRAM-1270, DRAM-1290.) (Laboratory hours by arrangement.)",3
68, Movement for the Actor I,1260,DRAM,"An introduction to the study and practice of movement for the actor. (Co-requisites: DRAM-1200, DRAM-1280.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
69, Movement for the Actor II,1270,DRAM,"Continuation of DRAM-1260. The study and practice of movement for the actor. (Prerequisite: DRAM-1260.) (Co-requisites: DRAM-1200, DRAM-1280.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
70, Improvisation and Introduction to Acting for the Theatre I,1280,DRAM,"An introduction to the study and practice of acting with an emphasis on the basic elements of improvisation. (Co-requisites: DRAM-1200, DRAM-1260.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
71,Improvisation and Introduction to Acting for the Theatre II,1290,DRAM,"Continuation of DRAM-1280. The study and practice of basic elements of acting and improvisation (Prerequisite: DRAM-1280.) (Co-requisites: DRAM-1200, DRAM-1260.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
72,Theatre History I,1300,DRAM,"Critical approaches to the main elements of Greek and Roman theatre, medieval western and Asian theatre, Italian, Spanish, and English Renaissance Theatre. (Open to non-Dramatic Art majors.)",3
73,Introduction to Drama in Education and Community I,1600,DRAM,"An introduction to the principles, theories and applications of Drama in Education and Community with an emphasis on creativity, storytelling, and the developmental aspects of play. (Restricted to Drama in Education and Community Majors, or consent of instructor.)",3
74,Introduction to Drama in Education and Community II,1610,DRAM,"A continuing study of Drama in Education and Community. (Prerequisite: DRAM-1600 or consent of instructor.) (Restricted to Drama in Education and Community Majors, or consent of instructor.)",3
75, The Nature of Theatre II,2000,DRAM,"Continuation of DRAM-1000. Two topics not covered in DRAM-1000 will be covered in DRAM-2000. Nature of Theatre is a two-part sequence, required for majors in all School of Dramatic Art programs. A laboratory assignment supporting the production schedule of University Players is required for either DRAM-1000 or DRAM-2000. Three critical writing assignments are required for the term in which a laboratory is not taken. This course must be successfully completed in the first year of the program. (Laboratory hours by arrangement).",3
76, Speech Communication to Inform,2100,DRAM,A beginning course designed to help the student to develop poise and confidence in communicating information. (Two lecture and one lab hours per week.) (Not available on an Audit basis.) (Also offered as CMAF-2100).,3
77,Scenic Design I,2110,DRAM,"Introduction to the technical aspects of design for the stage; communicating the design idea through basic drafting techniques. (Prerequisite: DRAM-1180, or consent of instructor.)",3
78,Scene Painting for the Theatre,2130,DRAM,"Laboratory and demonstration course with an emphasis on materials, texturing techniques, and the creation of three-dimensional effects.",3
79, Computer Technology for the Theatre,2140,DRAM,This course is an introduction to the use of computers for the theatre. Content and approaches will vary according to the nature of software programs. This course may be taken more than once for credit provided the content is significantly varied. (Open to Non-Drama Majors with consent of the instructor.),3
80,Lighting Design I,2150,DRAM,"The introduction and application of basic principles, including electricity, instruments, and design theory. (Laboratory hours by arrangement.)",3
81, Costume Design,2170,DRAM,Introduction to the principles of costume design for the stage; character analysis; and costume rendering. (Prerequisite: DRAM-1170 and DRAM-1180 or consent of instructor).,3
82," Gender, Movement and Performance",2190,DRAM,"This course explores how people come to know themselves and others through their bodies. Students investigate movement as a cultural message and explore how stereotypes connected to gender, race, sexuality, and ability are created and contested through the body. Prerequisite: WGST-1000 or DRAM-1000 or with consent of the instructor. (Cross-listed as a Social Science course in Women and Gender Studies, WGST-2190)",3
83,Voice for the Actor III,2200,DRAM,"Continuation of DRAM-1210. The study and practice of voice and speech for the theatre. (Prerequisite: DRAM-1210.) (Co-requisites: DRAM-2230, DRAM-2260, DRAM-2280.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
84,Voice for the Actor IV,2210,DRAM,"Continuation of DRAM-2200. The study and practice of voice and speech for the theatre. (Prerequisite: DRAM-2200.)(Co-requisites: DRAM-2230, DRAM-2260, DRAM-2280.) (Restricted to BFA Acting students only.) (Laboratory hours by arrangement.)",3
